"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4"
"DISTRICT JUDGE -5 AND  ADDL. SESSIONS JUDGE PUNE","23-03-2018","25-06-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","25-06-2018","14-07-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","14-07-2018","08-08-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","08-08-2018","29-09-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","29-09-2018","30-10-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","30-10-2018","29-11-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","29-11-2018","01-12-2018","Notice_Unready"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","01-12-2018","19-01-2019","Issues"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","19-01-2019","15-03-2019","Hearing"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","15-03-2019","15-06-2019","Hearing"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","15-06-2019","01-08-2019","Hearing"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","01-08-2019","03-09-2019","Hearing"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","03-09-2019","05-11-2019","Hearing"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","05-11-2019","07-01-2020","Hearing"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","07-01-2020","25-02-2020","Hearing"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","25-02-2020","24-04-2020","Hearing"
