"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","29-01-2019","27-02-2019"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","27-02-2019","25-03-2019"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","25-03-2019","22-04-2019"
"DISTRICT JUDGE -8 AND  ADDL. SESSIONS JUDGE PUNE","22-04-2019","03-06-2019"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","03-06-2019","03-07-2019"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","03-07-2019","29-07-2019"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","29-07-2019","16-09-2019"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","16-09-2019","21-10-2019"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","21-10-2019","09-12-2019"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","09-12-2019","08-01-2020"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","08-01-2020","30-01-2020"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","30-01-2020","23-03-2020"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","23-03-2020","22-06-2020"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","22-06-2020","10-08-2020"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","10-08-2020","02-11-2020"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","02-11-2020","13-01-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","13-01-2021","18-02-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","18-02-2021","19-03-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","19-03-2021","04-05-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","04-05-2021","29-06-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","29-06-2021","03-08-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","03-08-2021","22-09-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","22-09-2021","10-11-2021"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","10-11-2021","10-01-2022"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","10-01-2022","03-03-2022"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","03-03-2022","26-04-2022"
"DISTRICT JUDGE - 18 ADDL. SESSIONS JUDGE PUNE","26-04-2022","18-07-2022"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","18-07-2022","07-09-2022"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","07-09-2022","19-10-2022"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","19-10-2022","12-12-2022"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","12-12-2022","24-01-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","24-01-2023","08-03-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","08-03-2023","24-04-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","24-04-2023","26-07-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","26-07-2023","11-09-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","11-09-2023","18-10-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","18-10-2023","05-12-2023"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","05-12-2023","14-02-2024"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","14-02-2024","11-03-2024"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","11-03-2024","07-05-2024"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","07-05-2024","24-07-2024"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","24-07-2024","23-08-2024"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","23-08-2024","03-10-2024"
"DISTRICT JUDGE -9 AND  ADDL. SESSIONS JUDGE PUNE","03-10-2024","22-11-2024"
